episode_steps,scores
0,-87.8683566421845
1,-46.14670400575194
2,-146.1834085314506
3,-302.15074874398755
4,-165.83185288947556
5,-108.13417120903043
6,-165.3910409537378
7,-123.18284943755961
8,-192.2593629554357
9,-140.38147410991667
10,-406.1500994058403
11,-355.49556475415864
12,-386.3238709010638
13,-561.3831610872069
14,-407.63087331767116
15,-179.95178860145694
16,-78.67147045312599
17,-9.798324448113785
18,-14.600013760270437
19,24.50043397904561
20,-44.6485505299225
21,15.476708889731427
22,-55.30748395269488
23,-27.53561491574007
24,-17.299859006020654
25,-20.121451091919454
26,26.682711588208132
27,-132.60655328582186
28,78.07667738030466
29,-71.22183821954843
30,-68.88048075035887
31,-5.592311148487653
32,-46.29086810941058
33,69.85313329456727
34,45.715070915642485
35,14.101203004104342
36,31.865293876648124
37,48.76060891696982
38,-23.62725602627037
39,-124.5566814467861
40,-187.6352443211621
41,-111.02820936618268
42,-112.66066925985706
43,-98.83012448863286
44,-13.679062211097076
45,-31.427181442274396
46,-34.90546201639971
47,11.593277374424366
48,23.54058806880428
49,-168.5757222227328
50,19.67393276379931
51,-58.794405164773046
52,-1.5685429917325766
53,-164.79095598576245
54,-17.55396752617374
55,-20.244684370954563
56,29.206187514059888
57,3.568311529957231
58,29.48516829637244
59,33.945806727241994
60,-11.49941290282119
61,38.293998138616416
62,-41.472030724209915
63,24.653596801799306
64,-53.020757383417745
65,-62.89469320523126
66,-32.24247496487698
67,-127.89239606618919
68,-27.217325430718834
69,-9.092171038031621
70,17.558506215929302
71,12.213242379065273
72,-157.06626352368744
73,-90.18537801384879
74,-102.66466988444839
75,-292.42279894538785
76,-604.8047593087263
77,-113.47231743822934
78,-291.40827346760307
79,-79.2187435235546
80,-168.28674922343214
81,52.14101250459583
82,-1.0382989961878437
83,46.495330018120995
84,59.909411631112995
85,37.03536340562336
86,61.79400832831497
87,69.40172955169055
88,15.357181146782057
89,74.16668343964366
90,66.35274948964049
91,-57.16758728034142
92,-7.493673840481659
93,-21.007842830949297
94,55.37039907193939
95,12.926059435907723
96,6.952732210969026
97,-68.8516937382418
98,25.46210933525966
99,-9.32071040734469
100,-182.34314093304576
101,12.838497348994046
102,-13.267941864071238
103,-47.05810416029388
104,-101.62047822807557
105,-7.3718957892052
106,-2.781575567619927
107,-31.15017506521283
108,1.8544161374914871
109,2.0546386651998496
110,30.93149711159292
111,1.327993944711666
112,-46.6597861469283
113,1.3059956260050791
114,-11.686517555154134
115,-32.555352341171314
116,7.250732345562488
117,-40.896050857911604
118,-57.44438423856572
119,-46.34929772860035
120,-68.3429146258393
121,-288.51786404476775
122,-37.84772732448978
123,-112.28183688888546
124,-37.52811321602376
125,-45.56716132303746
126,-47.49761170672261
127,-15.208686351007564
128,-32.62568878976182
129,-135.07792639576326
130,-31.545716274092246
131,-126.675328209715
132,-6.794848502396322
133,-21.891419135031523
134,-7.037432582596583
135,-62.27912919439771
136,-28.582961042434526
137,25.122547661006603
138,-148.43309710869227
139,-75.1728780803406
140,-50.88917075719815
141,-23.531605809143272
142,-8.368638943327204
143,-31.08034644622555
144,-3.511839377364927
145,27.19007244977307
146,3.9967812826430364
147,8.523100090532438
148,14.470588566998705
149,41.54224055929403
150,7.678048643014738
151,30.65633100726985
152,-21.067456019138806
153,7.68520178166452
154,-32.31153947944063
155,-10.173813597521951
156,-51.1976709060615
157,-25.36497489572303
158,-39.60326442690494
159,-44.25907481783381
160,-46.750390262063156
161,-19.522829827814785
162,6.7711864544721285
163,-37.86594538959275
164,-58.87460375263771
165,-131.18092204252815
166,-0.5852617513901437
167,34.42943504305521
168,1.2714463364597994
169,-44.885063555826
170,-53.13618763646108
171,-19.430482877618683
172,-31.47203331279156
173,-43.22325562318552
174,-2.3991523235853043
175,-32.29357871584796
176,-64.40244906679696
177,-56.311703332471595
178,-1.9493983762287082
179,-58.59634356617083
180,-10.750608163957166
181,-130.38175927246226
182,-41.52907735226604
183,-70.62455028121765
184,6.902914104786184
185,-73.1764969763455
186,4.96488203770311
187,-111.21985095078283
188,-11.124956174322428
189,-30.07539400126901
190,-15.954262065617066
191,10.9894307987873
192,-53.26513721029876
193,-69.20531151636759
194,-122.77206665419091
195,-101.37559794373854
196,-39.07315995909212
197,-351.20884294496864
198,-22.657534970912995
199,-55.98786673928694
200,-8.604821790258894
201,-23.978490925009886
202,-3.3517579309855368
203,-62.67740651642694
204,8.077525029417139
205,-354.9899336556292
206,-26.109224411552063
207,-79.69770105776895
208,-39.96641636651245
209,-55.10807494718565
210,-21.901859711210186
211,-57.28693656353569
212,0.02585168706938301
213,-30.937789825111416
214,-17.152695686802105
215,-4.12427598414873
216,2.849980403206432
217,-65.07546122675936
218,1.959908454022693
219,4.618552288679402
220,-15.245794890393782
221,14.261897362555763
222,29.614783645797548
223,1.404475649040367
224,-3.6381898287994963
225,-91.35502172648383
226,32.02099383010959
227,-80.94012063852026
228,-51.88481355611459
229,-16.2303773761254
230,2.9897300159971247
231,32.20809563839851
232,-64.93509699248253
233,-16.946662935015162
234,-1.155325615083509
235,28.89198414394089
236,-2.5266970223302296
237,34.53992236627876
238,-109.17316462415758
239,-18.556326605328408
240,2.560153721714884
241,-6.2602113191588815
242,16.16613252380351
243,-0.2650664610463693
244,5.167953807030652
245,28.028070416095858
246,-42.53816427780315
247,-146.19643991161297
248,16.97324471369925
249,-43.76780534988958
250,-240.7512925954539
251,-107.00785005186944
252,11.5959384845733
253,16.178077218768905
254,-107.15716529477804
255,1.3663330636296216
256,-152.34518994662696
257,-28.532695015300582
258,-30.97237831214828
259,-140.3219822177828
260,12.157379497338068
261,-12.023139146359943
262,-134.83920823950703
263,-64.39418291535813
264,2.9354479476141844
265,-31.099127047016893
266,13.320699049924883
267,-10.570110814187336
268,13.423821126430532
269,-36.12807173833291
270,-14.553079086450994
271,41.981909405980396
272,0.6842299245145984
273,-9.186550347384907
274,0.1308174332426666
275,10.016784418238716
276,-25.297280866901062
277,-2.4945663105970874
278,-18.243203919658676
279,-10.22516188741293
280,23.321332918392894
281,39.03148241800007
282,-14.21847714391578
283,-8.92904762123735
284,4.769321512903895
285,23.0087336515671
286,2.7575124286426345
287,-10.241872191657544
288,-20.17349180986364
289,19.71955388912768
290,21.785534266626772
291,8.23706325733557
292,22.691799003667267
293,-19.4374007351195
294,3.9101273417836926
295,4.485477631746165
296,-7.530801306997069
297,-1.0818610411892244
298,-14.875514370274068
299,-1.7575803844442557
300,10.70187065884291
301,9.092620295122947
302,26.250008170755294
303,21.159816244964713
304,-4.347624442819825
305,2.3189014912437305
306,12.803046915421845
307,17.771481692235636
308,18.519344944789
309,22.138723890125576
310,32.51071342814486
311,-2.1343730116960984
312,-16.41826355808015
313,4.379058693794605
314,37.5970849159995
315,11.64856939883571
316,6.228417373572502
317,-3.7789267300182945
318,-16.881836103085664
319,0.31740990944431435
320,9.382042237050431
321,-32.78045140714012
322,16.745719180573474
323,10.66909657814213
324,6.797429323049085
325,-3.8347629280086375
326,21.84901846963884
327,8.534458988604065
328,5.7524931356008615
329,16.908994660000396
330,7.7762542350005806
331,40.9281577985375
332,9.85328066588926
333,19.501987983590702
334,-6.7931251732207
335,-0.21501627146763913
336,25.51741060443844
337,13.74197641589649
338,35.25330808202033
339,-42.87932343795569
340,-13.330207498343476
341,3.660568613743827
342,6.894037404566253
343,-10.200705977467935
344,18.62422006650756
345,-46.02086839202287
346,-5.452237544093362
347,22.35647017632839
348,2.5359035793851543
349,16.744348513038734
350,-9.33764814384546
351,31.97381248897976
352,2.270365354742907
353,-22.54716943900687
354,-36.36456308172972
355,25.381925133013738
356,5.409963377646424
357,11.23262819476115
358,3.3242720968160473
359,3.7210821139814403
360,-5.840021913309734
361,16.17859588133451
362,9.731372121503687
363,27.65033548902425
364,-9.23725191240187
365,-7.515008002018077
366,11.40640743782763
367,18.473546981113923
368,-6.132109525740337
369,-20.629871950152953
370,1.3676028462168714
371,46.08008474289825
372,-22.5862875327845
373,12.400812630121758
374,-16.356980426577884
375,-44.636987255724286
376,-17.276078411092186
377,14.688965371318446
378,8.46765664439675
379,-7.70119130900655
380,-21.72930744054802
381,-22.863048669457587
382,-0.23980286800689798
383,-16.921895957551
384,8.329738770810883
385,24.165659691539737
386,26.407595525479366
387,5.782223256064924
388,9.169652948061378
389,5.934449899373931
390,29.94232464089479
391,22.312807394539693
392,20.191391126831885
393,15.167416882421499
394,1.811944723404878
395,12.651085912303978
396,2.6909632588827
397,1.7129785236302475
398,-13.330163651434638
399,17.724787859821607
400,14.682276333366522
401,27.62546889855068
402,-0.09905482596261206
403,-2.976588802901252
404,-10.049709954538313
405,18.080620756388047
406,21.83135975858641
407,26.844689156935413
408,-0.7812571682331093
409,12.849363220421434
410,14.530582307538166
411,-22.419171633319586
412,-43.52524840028675
413,8.704073756322687
414,-36.51044096303199
415,-22.184961666635044
416,-12.31774729579306
417,3.331926739413885
418,-4.343356597341137
419,-22.847569023421546
420,-8.077591079147824
421,-21.6675787311111
422,-63.06304474346172
423,-21.544839679526596
424,-15.674762696618107
425,-10.475210186649152
426,-36.7684976121214
427,-25.07353688053687
428,-61.50981233992766
429,-54.3358702629705
430,-42.89930372407496
431,-31.41082175503915
432,-28.94782927420895
433,-51.30634303235276
434,-31.56506968292558
435,-2.6589134428713037
436,4.363323098846761
437,14.831004432437418
438,-27.53357133934336
439,-0.006880054208099284
440,0.9963806786790745
441,-12.922478233925254
442,-16.515658500803376
443,3.1588687321401903
444,-29.127103227624815
445,-19.109490270993298
446,-17.656272361838056
447,-26.600892533715186
448,18.630144954491065
449,-30.552704409540787
450,1.220479633410835
451,-9.559559840578121
452,-9.96204077431841
453,-16.113775172231538
454,-26.39141590132927
455,17.643908054817103
456,18.844584202350653
457,-1.913248303492949
458,-26.27061024742933
459,-43.02226235218045
460,-19.607114178067366
461,1.6211381568664285
462,-46.43960879071996
463,-10.860502419770674
464,-17.303449529428853
465,-23.026038704257402
466,-46.237982342183194
467,-32.68661661467439
468,-6.643197984596631
469,-12.227095912216807
470,-37.54294080803753
471,-2.822011292435236
472,-37.18732112950531
473,-18.783314630697028
474,-31.861500854256505
475,-26.135958299928507
476,18.236438972232307
477,-14.852582195704798
478,-27.0942847365728
479,-14.434155153060061
480,-13.007097990321935
481,-19.269833278901373
482,3.8176713830891673
483,-27.199953343972634
484,-25.56846350334062
485,-6.933225039499101
486,-28.89396130460656
487,7.169759984167311
488,-3.885821470464066
489,-0.4074360066768501
490,-45.78973112666308
491,-24.078875889568277
492,26.549248849621694
493,-43.491819889906374
494,-30.761938818857015
495,6.916697267096674
496,25.781096595388
497,-8.38758621922181
498,-18.156701675526435
499,-35.037192608820305
500,-33.423371104090236
501,-29.84800172460457
502,-35.61264615750104
503,6.231403495926871
504,-26.951307415084425
505,-12.272636026779397
506,21.191942612389603
507,-10.464246719888227
508,-1.2844018717959451
509,-12.2400053399858
510,3.1973058347760386
511,-29.243718297096862
512,-41.88451026517607
513,-32.310315645636095
514,-46.08604228172737
515,-23.682299998507535
516,-34.27771340507553
517,-49.90478811781966
518,-21.271590841056657
519,-2.017697411911352
520,-6.270065934859606
521,-13.432987201466972
522,-34.43065210066825
523,5.10648737239504
524,-3.830148441586413
525,-15.234026037552649
526,-58.5859956848864
527,-17.53541460687915
528,0.3968017776325339
529,-28.916229101636954
530,-34.187380837658154
531,-32.65872800026662
532,6.367337002092778
533,-12.222140382489501
534,-35.16804771170971
535,10.449052998290249
536,-22.24988193508001
537,0.4210352956679093
538,-13.322094032723374
539,-14.953213254975726
540,-11.013187868756745
541,-2.3210605017946446
542,7.425121999453354
543,-29.149535758853684
544,-21.832454269280063
545,-1.2270127346314832
546,-20.984596389047468
547,12.788493286170645
548,-6.977618210762065
549,8.611121456653457
550,-33.29361916494814
551,3.3638653950834465
552,24.320460818273997
553,19.51666190099526
554,-15.629399031507528
555,-4.938855176003261
556,-38.01411895697029
557,14.881246401770003
558,-7.111365201452697
559,4.650873427797713
560,-29.971249409775112
561,7.46983053099028
562,-9.609644963879973
563,-0.8305408259882225
564,-39.02374450640647
565,-1.5410308912044466
566,-7.745908739557943
567,-6.6994647222872805
568,47.43444143600452
569,-18.445858345117465
570,-23.694706657484982
571,-13.824264389785023
572,-19.34492185186149
573,-9.872874593336729
574,-42.577591712767465
575,4.8470110189154125
576,-28.795851537604378
577,7.039096690691473
578,-17.83966178781711
579,22.26835849040994
580,-1.6540707887694943
581,16.84390848160489
582,-10.518941047178755
583,-0.5348181584328047
584,10.015036427849425
585,0.23485708849599202
586,-0.11650540734261638
587,-8.784571968735763
588,7.069356637882482
589,-17.381895807546325
590,-16.619547798285012
591,12.749816841978676
592,-13.21821099883185
593,15.90282882812098
594,-38.746355723759095
595,-9.625195249984516
596,-16.070483471013198
597,9.838750869038648
598,32.56216379858005
599,-5.217827782256177
600,19.758298793587798
