episode_steps,scores
382,-33.80758697410058
383,6.6054694550418045
384,28.832547621193108
385,-45.292121248403014
386,-18.97394370426953
387,-11.27752472226737
388,1.2787375789918216
389,-8.450895196470332
390,0.12633828057431162
391,-2.0444529064178196
392,-0.2714691738397468
393,-37.064376832870735
394,-37.15638244710097
395,15.316541134544735
396,-26.780407491980593
397,-8.654696501906168
398,28.97179515253774
399,36.583249184163755
400,5.635261100830197
401,-8.167297181982034
402,20.156827167821206
403,-12.24022321762505
404,28.01717663095054
405,31.549002181472297
406,-11.729375790889737
407,62.28860494729057
408,-3.135050898636564
409,11.859081335528481
410,21.181557526966323
411,8.79101186767833
412,23.34504689930683
413,-21.089623180510955
414,-6.235851592424696
415,-11.61753336226937
416,6.985334271562714
417,2.59683798069044
418,-0.8703605800257863
419,-28.02792398187089
420,-27.63114206759787
421,-44.26380747298407
422,-14.707288895630077
423,-10.971703711343244
424,3.1322665353492694
425,-31.596648304499425
426,-26.150020541561254
427,-35.02527631781007
428,-12.43356105629903
429,-22.684620280463793
430,-33.98506967636681
431,-54.500386859081694
432,28.71683568457625
433,-32.61640934582635
434,-32.82291591571636
435,9.706647100455337
436,8.586175799702442
437,-16.137520177296263
438,-3.9246388632218814
439,10.44334418666278
440,52.34784229416404
441,58.97229996582366
442,36.21623527001921
443,9.970302984153381
444,-14.939652921552241
445,46.351308755193095
446,17.943550289258535
447,23.441001830875532
448,-2.3566537079056005
449,10.120403444193467
450,3.0578117539184015
451,45.26944184605979
452,29.512844840574303
453,24.145736828493302
454,26.203467136440715
455,10.232434701935881
456,9.001397698923958
457,-8.707857826780446
458,7.495146995560649
459,-10.331173943988524
460,12.90918222813974
461,25.962575851044445
462,-3.1303478567155385
463,6.668060845939085
464,-2.8022235299270513
465,34.69917208499172
466,8.20967881956059
467,50.490620369804475
468,9.744612676657898
469,24.9071214228959
470,-26.69918477849163
471,11.223725055065618
472,-13.654584554221634
473,-5.480272327612607
474,-22.974288883696257
475,-45.57987744896242
476,-29.633016821912012
477,11.126623981278067
478,15.736218655694096
479,24.864054332328557
480,6.980037771317871
481,18.350731024074598
482,-4.112115892580674
483,-38.38114393345801
484,2.766505372304114
