Wall time,Step,Value
1682263697.8802383,157149,65.0
1682263722.034045,158102,90.0
1682263726.6606238,158290,54.0
1682263738.2121775,158732,68.0
1682263739.999874,158806,74.0
1682263742.4706259,158902,96.0
1682263807.8278432,161485,86.0
1682263818.548171,161903,83.0
1682263849.3607872,163129,84.0
1682263854.2556245,163313,95.0
1682263858.3515463,163478,88.0
1682263869.9571364,163932,82.0
1682263875.420387,164148,82.0
1682263879.5104454,164306,77.0
1682263885.32774,164539,79.0
1682263914.0184004,165668,67.0
1682263917.3864038,165800,51.0
1682263940.3288858,166692,90.0
1682263942.1308358,166764,72.0
1682263943.7135618,166829,65.0
1682263970.3831978,167863,70.0
1682263978.0141106,168162,84.0
1682263984.5383189,168420,72.0
1682263999.9587924,169012,92.0
1682264007.0618942,169294,67.0
1682264027.7264218,170099,81.0
1682264032.7743938,170296,62.0
1682264038.1650765,170503,62.0
1682264044.377214,170744,77.0
1682264089.8563325,172530,86.0
1682264111.5475461,173368,65.0
1682264113.57607,173447,79.0
1682264118.833136,173650,62.0
1682264120.8547907,173724,74.0
1682264124.5014977,173864,77.0
1682264128.1071575,174008,90.0
1682264134.6112154,174256,68.0
1682264142.82956,174573,85.0
1682264152.3786902,174944,52.0
1682264156.2693534,175092,68.0
1682264184.8880448,176203,111.0
1682264191.5990326,176470,71.0
1682264240.361763,178354,73.0
1682264246.1021352,178580,84.0
1682264247.6491263,178633,53.0
1682264255.1541727,178926,56.0
1682264259.003011,179074,79.0
1682264268.218294,179437,64.0
1682264285.8497713,180130,77.0
1682264293.0910625,180408,73.0
1682264300.6639793,180693,88.0
1682264308.073305,180988,54.0
1682264326.0870337,181682,60.0
1682264329.9325922,181836,100.0
1682264333.2626095,181969,56.0
1682264334.7592487,182021,52.0
1682264343.1105812,182350,62.0
1682264348.6175122,182558,64.0
1682264364.104415,183157,56.0
1682264371.3337507,183435,69.0
1682264397.53142,184444,67.0
1682264408.6731684,184874,83.0
1682264412.2577553,185013,79.0
