Wall time,Step,Value
1682261168.4551947,53100,53.0
1682261189.051804,54000,52.0
1682261193.5850074,54200,52.0
1682261195.8459144,54300,52.0
1682261202.8538845,54600,52.0
1682261216.555139,55200,52.0
1682261237.2610116,56100,52.0
1682261244.1492815,56400,52.0
1682261246.532833,56500,52.0
1682261269.833648,57500,52.0
1682261309.0312219,59200,51.0
1682261313.5269291,59400,51.0
1682261345.9968605,60800,51.0
1682261357.5724156,61300,51.0
1682261362.237899,61500,51.0
1682261369.2088633,61800,51.0
1682261387.795792,62600,51.0
1682261401.7876227,63200,51.0
1682261406.5313537,63400,51.0
1682261413.4825947,63700,51.0
1682261427.396514,64300,51.0
1682261439.2265892,64800,50.0
1682261462.505395,65800,50.0
1682261476.6242523,66400,50.0
1682261490.6599214,67000,50.0
1682261500.0540173,67400,50.0
1682261514.050111,68000,50.0
1682261518.587171,68200,50.0
1682261520.980714,68300,50.0
1682261525.7187989,68500,50.0
1682261530.417012,68700,50.0
1682261532.794454,68800,50.0
1682261544.3264208,69300,50.0
1682261546.7979512,69400,50.0
1682261568.055059,70300,50.0
1682261582.152238,70900,50.0
1682261586.880333,71100,50.0
1682261598.4575717,71600,50.0
1682261610.2915862,72100,49.0
1682261615.0276732,72300,49.0
1682261643.1402912,73500,49.0
1682261659.5462236,74200,49.0
1682261661.9049954,74300,49.0
1682261666.5842788,74500,49.0
1682261671.3426719,74700,49.0
1682261673.6918063,74800,49.0
1682261678.4470038,75000,49.0
1682261706.83761,76200,49.0
1682261713.9087372,76500,49.0
1682261723.3784602,76900,49.0
1682261730.4644368,77200,49.0
1682261737.488343,77500,49.0
1682261746.8357012,77900,49.0
1682261749.1729233,78000,49.0
1682261758.652132,78400,49.0
1682261770.4460692,78900,49.0
1682261772.8036351,79000,49.0
1682261796.6743598,80000,49.0
1682261806.190905,80400,49.0
1682261813.410155,80700,49.0
1682261832.3934405,81500,48.0
1682261841.7619941,81900,48.0
1682261848.8236675,82200,48.0
1682261851.1802115,82300,48.0
1682261853.5886889,82400,48.0
1682261870.166872,83100,48.0
1682261884.4661217,83700,48.0
1682261889.273126,83900,48.0
1682261891.6327462,84000,48.0
1682261901.187023,84400,48.0
1682261910.626864,84800,48.0
1682261917.8849845,85100,48.0
1682261920.2714407,85200,48.0
1682261922.6124516,85300,48.0
1682261932.0649717,85700,48.0
1682261953.3800132,86600,48.0
1682261962.8487,87000,48.0
1682261965.232072,87100,48.0
1682261967.6327019,87200,48.0
1682261972.3986542,87400,48.0
1682261974.855884,87500,48.0
1682261989.3595552,88100,48.0
1682261998.8685198,88500,48.0
1682262001.233957,88600,48.0
1682262006.022903,88800,48.0
