Wall time,Step,Value
1681915181.5465884,52300,54.0
1681915186.0669322,52500,54.0
1681915199.738374,53100,54.0
1681915220.2007902,54000,54.0
1681915224.6602933,54200,54.0
1681915226.896259,54300,54.0
1681915233.7092142,54600,53.0
1681915247.204708,55200,53.0
1681915267.7645388,56100,53.0
1681915274.5981338,56400,53.0
1681915276.909329,56500,53.0
1681915299.8759997,57500,53.0
1681915338.8504112,59200,52.0
1681915343.3364475,59400,52.0
1681915375.4847262,60800,52.0
1681915386.9613373,61300,52.0
1681915391.6551142,61500,52.0
1681915398.5820477,61800,52.0
1681915417.0282688,62600,52.0
1681915430.9655912,63200,52.0
1681915435.559497,63400,52.0
1681915442.344356,63700,52.0
1681915456.0705838,64300,52.0
1681915467.729814,64800,51.0
1681915490.6579206,65800,51.0
1681915504.5458343,66400,51.0
1681915518.4603083,67000,51.0
1681915527.6751351,67400,51.0
1681915541.5769691,68000,51.0
1681915546.1139863,68200,51.0
1681915548.4380205,68300,51.0
1681915553.0869875,68500,51.0
1681915557.7165933,68700,51.0
1681915560.0460157,68800,51.0
1681915571.4741569,69300,51.0
1681915573.916123,69400,51.0
1681915594.969017,70300,51.0
1681915609.2376406,70900,51.0
1681915614.0494292,71100,51.0
1681915625.669412,71600,50.0
1681915637.5401218,72100,50.0
1681915642.375035,72300,50.0
1681915670.7367253,73500,50.0
1681915687.3398318,74200,50.0
1681915689.7644165,74300,50.0
1681915694.5659428,74500,50.0
1681915699.403598,74700,50.0
1681915701.814952,74800,50.0
1681915706.6010373,75000,50.0
1681915735.2679489,76200,50.0
1681915742.3077052,76500,50.0
1681915751.7441154,76900,50.0
1681915758.821325,77200,50.0
1681915765.8654447,77500,50.0
1681915775.2286835,77900,50.0
1681915777.501597,78000,50.0
1681915787.0715685,78400,50.0
1681915799.1005075,78900,50.0
1681915801.4909794,79000,50.0
1681915825.5475435,80000,49.0
1681915835.196859,80400,49.0
1681915842.5129547,80700,49.0
1681915861.393582,81500,49.0
1681915870.693527,81900,49.0
1681915877.662802,82200,49.0
1681915880.0063148,82300,49.0
1681915882.4255419,82400,49.0
1681915898.9052622,83100,49.0
1681915913.0176947,83700,49.0
1681915917.7537398,83900,49.0
1681915920.1084044,84000,49.0
1681915929.6252484,84400,49.0
