Wall time,Step,Value
1681914716.685757,31386,88.0
1681914718.6186435,31473,87.0
1681914723.6817048,31707,113.0
1681914735.9986522,32267,93.0
1681914738.7614565,32400,67.0
1681914744.6631641,32667,121.0
1681914747.2423885,32785,118.0
1681914752.050731,33010,106.0
1681914754.7292686,33128,118.0
1681914766.1444578,33649,114.0
1681914768.6268976,33768,119.0
1681914773.718591,33996,117.0
1681914778.5292773,34211,58.0
1681914780.1016252,34284,73.0
1681914781.8750951,34370,86.0
1681914789.8848999,34724,108.0
1681914791.3508134,34794,70.0
1681914796.7542307,35034,98.0
1681914798.7841833,35126,92.0
1681914803.7616189,35357,117.0
1681914805.5687826,35439,82.0
1681914809.663326,35624,97.0
1681914813.242274,35787,65.0
1681914817.2250834,35963,92.0
1681914819.3664987,36061,98.0
1681914821.3213499,36158,97.0
1681914824.5991223,36302,78.0
1681914826.8555,36404,102.0
1681914832.3886607,36660,65.0
1681914834.2745445,36744,84.0
1681914835.745738,36813,69.0
1681914837.3162608,36888,75.0
1681914841.5863705,37079,96.0
1681914843.8025124,37173,94.0
1681914845.8129325,37270,97.0
1681914847.5681338,37347,77.0
1681914867.7846923,38256,134.0
1681914869.7123363,38346,90.0
1681914872.9771478,38497,85.0
1681914879.071423,38772,72.0
1681914894.8124678,39487,93.0
1681914897.040823,39586,99.0
1681914908.1060073,40072,147.0
1681914909.9112012,40154,82.0
1681914912.6273415,40273,119.0
1681914915.9332201,40421,79.0
1681914919.9109807,40606,60.0
1681914929.4643586,41029,72.0
1681914950.5824199,41984,101.0
1681914952.7364318,42090,106.0
1681914955.208052,42195,105.0
1681914957.832748,42319,124.0
1681914962.0701847,42507,82.0
1681914963.8231883,42590,83.0
1681914969.905354,42861,85.0
1681914976.8236887,43173,112.0
1681915014.1477647,44847,97.0
1681915015.670447,44915,68.0
1681915018.0612876,45030,115.0
1681915020.205522,45124,94.0
1681915025.3264353,45358,107.0
1681915027.3501089,45450,92.0
1681915029.5510488,45541,91.0
1681915033.6301491,45725,76.0
1681915037.025013,45873,148.0
1681915039.263445,45976,103.0
1681915043.2851968,46156,92.0
1681915047.1165304,46327,73.0
1681915049.5872903,46440,113.0
1681915057.367349,46782,82.0
1681915070.415762,47376,92.0
1681915076.6376567,47651,84.0
1681915079.213633,47764,113.0
1681915083.4680028,47954,100.0
